"Name","Location","Year","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Seats","Price"
"Honda Brio VX AT","Coimbatore","2016.0","37300.0","Petrol","Automatic","Second","16.5 kmpl","1198 CC","86.8 bhp","5.0","6.46"
"Audi A6 2.0 TDI Design Edition","Delhi","2014.0","56000.0","Diesel","Automatic","Second","18.53 kmpl","1968 CC","187.74 bhp","5.0","29.5"
"Ford Fiesta 1.4 SXi TDCi","Jaipur","2008.0","111111.0","Diesel","Manual","First","17.8 kmpl","1399 CC","null bhp","5.0","2.0"
"Toyota Innova 2.0 G1","Chennai","2006.0","230000.0","Petrol","Manual","Third","12.4 kmpl","1998 CC","132 bhp","8.0","4.5"
"Toyota Innova 2.5 VX 7 STR BSIV","Hyderabad","2012.0","104000.0","Diesel","Manual","First","12.8 kmpl","2494 CC","102 bhp","7.0","11.75"
"Hyundai Santro Xing XL","Hyderabad","2005.0","87591.0","Petrol","Manual","First","0.0 kmpl","1086 CC","null bhp","5.0","1.3"
"Maruti Swift VDI","Jaipur","2012.0","95100.0","Diesel","Manual","First","22.9 kmpl","1248 CC","74 bhp","5.0","3.75"
"Tata Zest Revotron 1.2T XE","Pune","2017.0","70000.0","Petrol","Manual","First","17.57 kmpl","1193 CC","88.7 bhp","5.0","4.5"
"Honda Amaze SX i-VTEC","Kochi","2016.0","54944.0","Petrol","Manual","First","18.0 kmpl","1198 CC","86.7 bhp","5.0","4.82"
"Ford Figo Diesel ZXI","Hyderabad","2012.0","70337.0","Diesel","Manual","First","20.0 kmpl","1399 CC","68 bhp","5.0","2.8"
"Maruti Ritz VDi","Jaipur","2013.0","99638.0","Diesel","Manual","First","23.2 kmpl","1248 CC","73.94 bhp","5.0","3.11"
"Honda City i VTEC E","Delhi","2009.0","52000.0","Petrol","Manual","First","17.8 kmpl","1497 CC","117.3 bhp","5.0","3.25"
"BMW 5 Series 2003-2012 525d","Delhi","2011.0","75000.0","Diesel","Automatic","Second","16.73 kmpl","1995 CC","218 bhp","5.0","13.9"
"Hyundai i10 Sportz 1.2","Pune","2009.0","95980.0","Petrol","Manual","First","20.36 kmpl","1197 CC","78.9 bhp","5.0","2.25"
"Hyundai Grand i10 Sportz","Bangalore","2016.0","16000.0","Petrol","Manual","First","18.9 kmpl","1197 CC","82 bhp","5.0","5.75"
"Hyundai Santro Xing XO","Hyderabad","2007.0","73745.0","Petrol","Manual","First","17.0 kmpl","1086 CC","null bhp","5.0","2.1"
"Honda Amaze SX i-VTEC","Mumbai","2016.0","18949.0","Petrol","Manual","First","17.8 kmpl","1198 CC","86.7 bhp","5.0","5.0"
"Toyota Fortuner 4x2 Manual","Delhi","2014.0","107000.0","Diesel","Manual","First","13.0 kmpl","2982 CC","168.5 bhp","7.0","16.5"
"Audi A6 2011-2015 35 TDI Premium","Coimbatore","2018.0","48367.0","Diesel","Automatic","First","17.68 kmpl","1968 CC","174.33 bhp","5.0","39.58"
"Ford Ecosport 1.5 DV5 MT Titanium Optional","Delhi","2013.0","57000.0","Diesel","Manual","First","22.7 kmpl","1498 CC","89.84 bhp","5.0","5.5"
"Mahindra XUV500 W8 2WD","Delhi","2014.0","58000.0","Diesel","Manual","First","15.1 kmpl","2179 CC","140 bhp","7.0","8.1"
"Honda Amaze SX i-DTEC","Kolkata","2015.0","30000.0","Diesel","Manual","First","25.8 kmpl","1498 CC","98.6 bhp","5.0","3.5"
"Volkswagen Polo Diesel Highline 1.2L","Kolkata","2013.0","34212.0","Diesel","Manual","First","22.07 kmpl","1199 CC","73.9 bhp","5.0","2.79"
"Hyundai Verna Transform SX VGT CRDi","Ahmedabad","2010.0","70002.0","Diesel","Manual","First","16.2 kmpl","1493 CC","110 bhp","5.0","3.45"
"Maruti Wagon R VXI BS IV","Bangalore","2016.0","62000.0","Petrol","Manual","First","18.9 kmpl","998 CC","67.1 bhp","5.0","4.45"
"Volkswagen Polo Petrol Highline 1.6L","Delhi","2010.0","62001.0","Petrol","Manual","First","15.26 kmpl","1598 CC","103.5 bhp","5.0","2.65"
"Hyundai i20 1.4 CRDi Sportz","Pune","2011.0","78958.0","Diesel","Manual","Second","23.0 kmpl","1396 CC","90 bhp","5.0","3.8"
"Hyundai i20 Asta 1.2","Mumbai","2014.0","30180.0","Petrol","Manual","First","18.5 kmpl","1197 CC","82.85 bhp","5.0","4.65"
"Datsun GO Plus T Petrol","Pune","2017.0","32851.0","Petrol","Manual","First","19.83 kmpl","1198 CC","67 bhp","7.0","3.95"
"Audi A4 3.0 TDI Quattro Premium","Kolkata","2010.0","30000.0","Diesel","Automatic","First","14.94 kmpl","2967 CC","241.4 bhp","5.0","9.8"
"Hyundai i20 2015-2017 Asta","Pune","2009.0","66000.0","Petrol","Manual","Second","17.0 kmpl","1197 CC","80 bhp","5.0","2.7"
"Maruti Omni 5 Str STD","Coimbatore","2010.0","93850.0","Petrol","Manual","First","14.0 kmpl","796 CC","35 bhp","5.0","2.41"
"Toyota Etios Liva 1.2 G","Ahmedabad","2014.0","53000.0","Petrol","Manual","First","17.71 kmpl","1197 CC","78.9 bhp","5.0","3.9"
"Jaguar XF 3.0 Litre S Premium Luxury","Hyderabad","2011.0","78000.0","Diesel","Automatic","Second","14.74 kmpl","2993 CC","270.9 bhp","5.0","24.0"
"Mahindra XUV500 W8 2WD","Delhi","2012.0","65000.0","Diesel","Manual","Second","16.0 kmpl","2179 CC","140 bhp","7.0","5.75"
"Hyundai Verna 1.6 SX CRDI (O) AT","Kolkata","2014.0","40000.0","Diesel","Automatic","First","22.32 kmpl","1582 CC","126.32 bhp","5.0","5.25"
"Toyota Innova Crysta 2.8 ZX AT","Mumbai","2017.0","30000.0","Diesel","Automatic","First","11.36 kmpl","2755 CC","171.5 bhp","7.0","19.25"
"Maruti Eeco 5 Seater AC","Coimbatore","2017.0","38053.0","Petrol","Manual","First","15.1 kmpl","1196 CC","73 bhp","5.0","3.91"
"Tata Nano Twist XT","Bangalore","2014.0","25500.0","Petrol","Manual","First","25.4 kmpl","624 CC","37.5 bhp","4.0","2.15"
"BMW 3 Series 320d Luxury Line","Mumbai","2015.0","56087.0","Diesel","Automatic","First","22.69 kmpl","1995 CC","190 bhp","5.0","20.75"
"Honda Civic 2006-2010 1.8 V MT","Delhi","2010.0","71088.0","Petrol","Manual","First","13.5 kmpl","1799 CC","130 bhp","5.0","3.35"
"Toyota Innova 2.5 VX (Diesel) 7 Seater","Ahmedabad","2014.0","55000.0","Diesel","Manual","First","12.99 kmpl","2494 CC","100.6 bhp","7.0","11.11"
"Volvo V40 Cross Country D3","Bangalore","2014.0","32700.0","Diesel","Automatic","First","23.3 kmpl","1984 CC","150 bhp","5.0","20.0"
"Nissan Micra XV CVT","Coimbatore","2016.0","39882.0","Petrol","Automatic","First","19.15 kmpl","1198 CC","75.94 bhp","5.0","6.55"
"BMW 5 Series 2010-2013 525i","Mumbai","2009.0","128000.0","Petrol","Automatic","First","10.8 kmpl","2497 CC","215 bhp","5.0","7.0"
"Maruti Vitara Brezza VDi","Mumbai","2016.0","55000.0","Diesel","Manual","First","24.3 kmpl","1248 CC","88.5 bhp","5.0","7.5"
"Hyundai Santro Xing XL eRLX Euro III","Mumbai","2005.0","102000.0","Petrol","Manual","Second","17.0 kmpl","1086 CC","null bhp","5.0","0.85"
"Mercedes-Benz B Class B200 CDI","Pune","2014.0","53753.0","Diesel","Automatic","Second","15.0 kmpl","2143 CC","107.3 bhp","5.0","16.75"
"Hyundai Verna CRDi 1.6 SX Option","Kolkata","2018.0","10250.0","Diesel","Manual","First","22.0 kmpl","1582 CC","126.2 bhp","5.0","10.95"
"Maruti Wagon R LXI BS IV","Pune","2011.0","43874.0","Petrol","Manual","First","18.9 kmpl","998 CC","67.1 bhp","5.0","2.45"
"Tata Nano XTA","Coimbatore","2017.0","32684.0","Petrol","Automatic","First","21.9 kmpl","624 CC","37.48 bhp","4.0","3.23"
"Mahindra Scorpio VLX","Kolkata","2014.0","42000.0","Diesel","Manual","First","12.05 kmpl","2179 CC","120 bhp","8.0","7.75"
"Mercedes-Benz New C-Class 200 K AT","Kolkata","2009.0","28352.0","Petrol","Automatic","First","11.7 kmpl","1796 CC","178 bhp","5.0","9.35"
"Maruti Wagon R LXI CNG","Pune","2013.0","89900.0","CNG","Manual","First","26.6 km/kg","998 CC","58.16 bhp","5.0","3.25"
"Honda CR-V 2.4 MT","Bangalore","2007.0","47700.0","Petrol","Manual","Second","10.8 kmpl","2354 CC","152 bhp","5.0","5.25"
"Volkswagen Vento 1.5 TDI Comfortline AT","Pune","2015.0","55000.0","Diesel","Automatic","First","21.21 kmpl","1498 CC","103.2 bhp","5.0","7.25"
"Maruti Ciaz VXi Plus","Kochi","2017.0","44285.0","Petrol","Manual","First","20.73 kmpl","1373 CC","91.1 bhp","5.0","7.47"
"Mahindra XUV500 AT W10 FWD","Jaipur","2016.0","54000.0","Diesel","Automatic","First","16.0 kmpl","2179 CC","140 bhp","7.0","13.25"
"Maruti Ritz VXI ABS","Coimbatore","2016.0","30232.0","Petrol","Manual","First","21.1 kmpl","1197 CC","85.80 bhp","5.0","5.81"
"Maruti Alto K10 VXI","Hyderabad","2014.0","88500.0","Petrol","Manual","First","24.07 kmpl","998 CC","67.1 bhp","5.0","2.6"
"Mercedes-Benz SLC 43 AMG","Kolkata","2017.0","13372.0","Petrol","Automatic","First","19.0 kmpl","2996 CC","362.07 bhp","2.0","54.0"
"Hyundai Verna VTVT 1.6 AT SX Plus","Kochi","2019.0","12645.0","Petrol","Automatic","First","17.0 kmpl","1591 CC","121.3 bhp","5.0","11.5"
"Maruti Alto LXi BSIII","Chennai","2010.0","94385.0","Petrol","Manual","Second","19.7 kmpl","796 CC","46.3 bhp","5.0","1.6"
"BMW 1 Series 118d Base","Coimbatore","2015.0","31821.0","Diesel","Automatic","First","20.58 kmpl","1995 CC","143 bhp","5.0","17.22"
"Honda Jazz 1.2 V CVT i VTEC","Mumbai","2015.0","12000.0","Petrol","Automatic","First","19.0 kmpl","1199 CC","88.7 bhp","5.0","6.0"
"Honda Civic 2006-2010 1.8 V MT","Delhi","2012.0","88578.0","Petrol","Manual","First","13.5 kmpl","1799 CC","130 bhp","5.0","3.95"
"Mercedes-Benz New C-Class C 220 CDI Avantgarde","Kochi","2014.0","44965.0","Diesel","Automatic","First","19.27 kmpl","2143 CC","170 bhp","5.0","17.95"
"Honda Amaze SX i-DTEC","Kolkata","2014.0","45044.0","Diesel","Manual","First","25.8 kmpl","1498 CC","98.6 bhp","5.0","3.7"
"Maruti Swift VVT VXI","Kochi","2016.0","34204.0","Petrol","Manual","First","22.0 kmpl","1197 CC","81.80 bhp","5.0","5.43"
"Hyundai Santro Xing XO eRLX Euro II","Kochi","2008.0","80759.0","Petrol","Manual","Third","17.0 kmpl","1086 CC","null bhp","5.0","1.67"
"Toyota Fortuner 3.0 Diesel","Coimbatore","2012.0","91235.0","Diesel","Manual","First","11.5 kmpl","2982 CC","171 bhp","7.0","13.49"
"Chevrolet Beat LT Option","Pune","2014.0","38800.0","Petrol","Manual","First","18.6 kmpl","1199 CC","76.8 bhp","5.0","2.85"
"Skoda Rapid 1.5 TDI Elegance","Chennai","2013.0","83000.0","Diesel","Manual","First","21.14 kmpl","1498 CC","103.52 bhp","5.0","4.75"
"Maruti Ciaz 1.4 Alpha","Kochi","2018.0","41283.0","Petrol","Manual","First","20.73 kmpl","1373 CC","91.1 bhp","5.0","9.9"
"Audi RS5 Coupe","Mumbai","2013.0","23000.0","Petrol","Automatic","First","11.05 kmpl","2894 CC","444 bhp","4.0","37.0"
"BMW 3 Series Luxury Line","Mumbai","2014.0","48000.0","Diesel","Automatic","First","21.76 kmpl","1995 CC","190 bhp","5.0","26.5"
"Audi A4 2.0 TDI 177 Bhp Premium Plus","Coimbatore","2015.0","48214.0","Diesel","Automatic","First","17.11 kmpl","1968 CC","174.33 bhp","5.0","23.32"
"Maruti Swift VDI","Chennai","2016.0","35000.0","Diesel","Manual","First","22.9 kmpl","1248 CC","74 bhp","5.0","6.25"
"Mercedes-Benz S Class 2005 2013 S 500","Kolkata","2010.0","35277.0","Petrol","Automatic","First","7.81 kmpl","5461 CC","362.9 bhp","5.0","30.0"
"Skoda Rapid 1.5 TDI AT Elegance Plus Black Package","Coimbatore","2016.0","54620.0","Diesel","Automatic","First","21.66 kmpl","1498 CC","103.52 bhp","5.0","9.86"
"Skoda Superb Elegance 2.0 TDI CR AT","Pune","2012.0","136997.0","Diesel","Automatic","First","17.2 kmpl","1968 CC","138.1 bhp","5.0","8.5"
"Hyundai EON Magna Plus","Kochi","2019.0","14322.0","Petrol","Manual","First","21.1 kmpl","814 CC","55.2 bhp","5.0","4.23"
"Volkswagen Polo Diesel Trendline 1.2L","Jaipur","2012.0","65634.0","Diesel","Manual","First","22.07 kmpl","1199 CC","73.9 bhp","5.0","3.5"
"Datsun GO NXT","Kolkata","2016.0","6000.0","Petrol","Manual","First","20.63 kmpl","1198 CC","67.06 bhp","5.0","2.5"
"Honda Brio S MT","Kolkata","2013.0","33280.0","Petrol","Manual","First","19.4 kmpl","1198 CC","86.8 bhp","5.0","2.39"
"Mercedes-Benz B Class B180","Delhi","2013.0","29000.0","Petrol","Automatic","First","14.8 kmpl","1595 CC","120.7 bhp","5.0","11.25"
"Honda City i DTEC V","Kochi","2015.0","42831.0","Diesel","Manual","First","26.0 kmpl","1498 CC","98.6 bhp","5.0","7.11"
"Toyota Innova 2.5 G (Diesel) 7 Seater","Ahmedabad","2016.0","90000.0","Diesel","Manual","First","12.99 kmpl","2494 CC","100.6 bhp","7.0","10.9"
"Maruti Swift VXI Optional","Ahmedabad","2017.0","24005.0","Petrol","Manual","First","20.4 kmpl","1197 CC","81.80 bhp","5.0","6.2"
"Mahindra XUV500 W8 2WD","Mumbai","2012.0","32792.0","Diesel","Manual","First","15.1 kmpl","2179 CC","140 bhp","7.0","7.9"
"Ford Ecosport 1.5 DV5 MT Ambiente","Kochi","2014.0","147898.0","Diesel","Manual","First","22.7 kmpl","1498 CC","89.84 bhp","5.0","4.42"
"Toyota Fortuner 4x2 Manual","Mumbai","2012.0","131765.0","Diesel","Manual","First","13.0 kmpl","2982 CC","168.5 bhp","7.0","13.5"
"Volkswagen Vento 1.5 Highline Plus AT 16 Alloy","Chennai","2013.0","65000.0","Diesel","Automatic","First","21.5 kmpl","1498 CC","108.5 bhp","5.0","6.25"
"Ford Figo Diesel Titanium","Jaipur","2010.0","66123.0","Diesel","Manual","Second","20.0 kmpl","1399 CC","68 bhp","5.0","2.1"
"BMW X5 xDrive 30d","Mumbai","2015.0","41000.0","Diesel","Automatic","First","15.3 kmpl","2993 CC","258 bhp","5.0","45.0"
"Mercedes-Benz New C-Class C 220 CDI Style","Coimbatore","2017.0","23550.0","Diesel","Automatic","First","19.27 kmpl","2143 CC","167.62 bhp","5.0","33.66"
"Honda Brio V MT","Bangalore","2012.0","45000.0","Petrol","Manual","Second","19.4 kmpl","1198 CC","86.8 bhp","5.0","3.65"
"Hyundai i10 Magna 1.2","Delhi","2013.0","60000.0","Petrol","Manual","First","20.36 kmpl","1197 CC","78.9 bhp","5.0","2.75"
"Mercedes-Benz GLC 220","Bangalore","2016.0","44414.0","Diesel","Automatic","First","17.9 kmpl","2143 CC","170 bhp","5.0","42.5"
"Hyundai Grand i10 1.2 Kappa Asta","Kolkata","2019.0","1000.0","Petrol","Manual","First","18.9 kmpl","1197 CC","81.86 bhp","5.0","6.5"
"Audi A6 2011-2015 2.0 TDI Premium Plus","Mumbai","2012.0","62500.0","Diesel","Automatic","Second","17.68 kmpl","1968 CC","174.33 bhp","5.0","19.0"
"Volkswagen Vento Petrol Highline AT","Mumbai","2013.0","21000.0","Petrol","Automatic","Second","14.4 kmpl","1598 CC","103.6 bhp","5.0","4.45"
"Mini Countryman Cooper D","Jaipur","2017.0","8525.0","Diesel","Automatic","Second","16.6 kmpl","1998 CC","112 bhp","5.0","23.0"
"Hyundai i20 Asta 1.4 CRDi","Bangalore","2014.0","29000.0","Diesel","Manual","First","22.54 kmpl","1396 CC","88.73 bhp","5.0","8.35"
"Audi A6 2011-2015 2.0 TDI Premium Plus","Mumbai","2014.0","40000.0","Diesel","Automatic","First","17.68 kmpl","1968 CC","174.33 bhp","5.0","22.95"
